30/06/2025 21:00:00;ART016;ES04
30/06/2025 21:15:00;ART009;ES01
30/06/2025 21:30:00;ART014;ES03
30/06/2025 21:45:00;ART011;ES02
30/06/2025 22:00:00;ART012;ES02
30/06/2025 22:30:00;ART010;ES01
30/06/2025 22:45:00;ART015;ES03
30/06/2025 23:00:00;ART017;ES04
30/06/2025 23:15:00;ART013;ES02
01/07/2025 19:45:00;ART014;ES03
01/07/2025 20:00:00;ART014;ES03
01/07/2025 20:30:00;ART009;ES01
01/07/2025 20:45:00;ART011;ES02
01/07/2025 21:30:00;ART011;ES02
01/07/2025 21:45:00;ART010;ES01
01/07/2025 22:00:00;ART017;ES04
01/07/2025 23:15:00;ART013;ES02
02/07/2025 19:30:00;ART014;ES03
02/07/2025 20:00:00;ART012;ES02
02/07/2025 20:30:00;ART016;ES04
02/07/2025 21:00:00;ART010;ES01
02/07/2025 21:15:00;ART015;ES03
02/07/2025 21:15:00;ART017;ES04
02/07/2025 22:30:00;ART010;ES01
02/07/2025 23:00:00;ART013;ES02
03/07/2025 19:00:00;ART016;ES04
03/07/2025 20:00:00;ART012;ES02
03/07/2025 20:15:00;ART009;ES01
03/07/2025 21:00:00;ART012;ES02
03/07/2025 22:15:00;ART013;ES02
03/07/2025 22:45:00;ART016;ES04
04/07/2025 19:15:00;ART009;ES01
04/07/2025 19:30:00;ART011;ES02
04/07/2025 20:00:00;ART015;ES03
04/07/2025 20:45:00;ART017;ES04
04/07/2025 21:00:00;ART015;ES03
